timestamp,ph,turbidez,oxigenio_dissolvido,temperatura,agrotoxicos
2026-06-22T19:21:11,11.700000000000001,0.0,5.0,30.0,0.0
2026-06-22T19:27:21,7.0,0.0,5.0,25.0,0.0
2026-06-22T19:30:53,7.0,0.0,5.0,25.0,0.0025
2026-06-22T19:32:48,7.0,0.1,5.0,25.0,0.028
2026-06-22T19:35:21,1.0,0.0,5.0,25.0,0.0
2026-06-22T19:36:27,7.0,0.0,0.0,25.0,0.0
2026-06-22T20:12:09,7.0,0.0,5.0,25.0,0.0
2026-06-28T19:17:38,1.0,0.8,20.0,40.0,0.0855
2026-06-28T19:28:39,9.0,900.0,8.0,60.0,0.1
2026-06-28T19:28:57,9.0,900.0,8.0,60.0,0.1
2026-06-28T19:40:48,10.0,900.0,8.0,60.0,0.1
2026-06-28T19:44:28,7.0,9.0,8.0,25.0,0.0
2026-06-28T19:51:32,7.0,0.0,8.0,25.0,0.0
2026-06-28T19:52:06,7.0,0.0,5.0,25.0,0.0
